"protocol" "tgs" "np" "nc" "tf"
"fins" "92cccc" 1 1 1
"fins" "ffffff" 1 1 1
"fins" "0000ff" 1 1 1
"fins" "ff0000" 1 1 1
"fins" "00ff00" 1 1 1
"fins" "0a0001" 1 1 1
"fins" "504153" 1 1 1
"fins" "200000" 1 1 1
"fins" "0192cc" 1 1 1
"fins" "0105cc" 1 1 1
"fins" "010080" 1 1 1
"fins" "000100" 1 1 1
"fins" "007a01" 1 1 1
"fins" "85cccc" 1 1 1
"fins" "7a0501" 1 1 1
"fins" "538000" 1 1 1
"fins" "018012" 1 1 1
"fins" "7a0105" 1 1 1
"fins" "010197" 1 1 1
"fins" "020180" 1 1 1
"fins" "100000" 1 1 1
"fins" "00020a" 1 1 1
"fins" "001080" 1 1 1
"fins" "007a06" 1 1 1
"fins" "030500" 1 1 1
"fins" "91cccc" 1 1 1
"fins" "0181cc" 1 1 1
"fins" "062001" 1 1 1
"fins" "028010" 1 1 1
"fins" "01cccc" 1 1 1
"fins" "00007a" 1 1 1
"fins" "000080" 1 1 1
"fins" "535380" 1 1 1
"fins" "038010" 1 1 1
"fins" "00ff44" 1 1 1
"fins" "ffff80" 1 1 1
"fins" "80ffff" 1 1 1
"fins" "010100" 1 1 1
"fins" "060180" 1 1 1
"fins" "7a0502" 1 1 1
"fins" "070000" 1 1 1
"fins" "030400" 1 1 1
"fins" "018011" 1 1 1
"fins" "010194" 1 1 1
"fins" "010380" 1 1 1
"fins" "cccccc" 1 1 1
"fins" "468000" 1 1 1
"fins" "7a0801" 1 1 1
"fins" "020119" 1 1 1
"fins" "010000" 1 1 1
"fins" "000180" 1 1 1
"fins" "000480" 1 1 1
"fins" "030700" 1 1 1
"fins" "000053" 1 1 1
"fins" "80cccc" 1 1 1
"fins" "ff40ff" 1 1 1
"fins" "200180" 1 1 1
"fins" "007a03" 1 1 1
"fins" "108000" 1 1 1
"fins" "0193cc" 1 1 1
"fins" "0104cc" 1 1 1
"fins" "018010" 1 1 1
"fins" "010195" 1 1 1
"fins" "7a0702" 1 1 1
"fins" "7a0306" 1 1 1
"fins" "cc81cc" 1 1 1
"fins" "011980" 1 1 1
"fins" "0180cc" 1 1 1
"fins" "080161" 1 1 1
"fins" "800002" 1 1 1
